run_id,file,sheet,excel_row,excel_col,date,slot_index,slot_label,hour_end,rule_id,action,old_value,new_value,reason
clean-2025-v1,附件2,光伏发电实际功率,2,AF,2025-01-01,31,5:10,5:10,NR1,set_zero,0.0021,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,2,AI,2025-01-01,34,5:40,5:40,NR1,set_zero,0.0299,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,2,AL,2025-01-01,37,6:10,6:10,NR1,set_zero,0.4169,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,2,AO,2025-01-01,40,6:40,6:40,NR2,reject,5.8062,nan,core-night value above noise band (old=5.806200)
clean-2025-v1,附件2,光伏发电实际功率,2,AQ,2025-01-01,42,7:00,7:00,NR5,flag,3.075,3.075,"shoulder weak signal, excluded from sigma estimation"
clean-2025-v1,附件2,光伏发电实际功率,2,CY,2025-01-01,102,17:00,17:00,NR5,flag,2.9625,2.9625,"shoulder weak signal, excluded from sigma estimation"
clean-2025-v1,附件2,光伏发电实际功率,2,DA,2025-01-01,104,17:20,17:20,NR2,reject,5.9578,nan,core-night value above noise band (old=5.957800)
clean-2025-v1,附件2,光伏发电实际功率,2,DD,2025-01-01,107,17:50,17:50,NR1,set_zero,0.4277,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,2,DG,2025-01-01,110,18:20,18:20,NR1,set_zero,0.0307,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,2,DJ,2025-01-01,113,18:50,18:50,NR1,set_zero,0.0022,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,3,AF,2025-01-02,31,5:10,5:10,NR1,set_zero,0.0022,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,3,AI,2025-01-02,34,5:40,5:40,NR1,set_zero,0.0307,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,3,AL,2025-01-02,37,6:10,6:10,NR1,set_zero,0.4279,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,3,AO,2025-01-02,40,6:40,6:40,NR2,reject,5.9596,nan,core-night value above noise band (old=5.959600)
clean-2025-v1,附件2,光伏发电实际功率,3,DA,2025-01-02,104,17:20,17:20,NR2,reject,6.7246,nan,core-night value above noise band (old=6.724600)
clean-2025-v1,附件2,光伏发电实际功率,3,DD,2025-01-02,107,17:50,17:50,NR1,set_zero,0.4828,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,3,DG,2025-01-02,110,18:20,18:20,NR1,set_zero,0.0347,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,3,DJ,2025-01-02,113,18:50,18:50,NR1,set_zero,0.0025,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,4,AF,2025-01-03,31,5:10,5:10,NR1,set_zero,0.0019,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,4,AI,2025-01-03,34,5:40,5:40,NR1,set_zero,0.0271,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,4,AL,2025-01-03,37,6:10,6:10,NR1,set_zero,0.3772,0,core-night zero-drift within noise band
clean-2025-v1,附件2,光伏发电实际功率,4,AO,2025-01-03,40,6:40,6:40,NR2,reject,5.2535,nan,core-night value above noise band (old=5.253500)
clean-2025-v1,附件2,光伏发电实际功率,4,DA,2025-01-03,104,17:20,17:20,NR2,reject,5.7669,nan,core-night value above noise band (old=5.766900)
