date,k_rise,k_set,sunrise,sunset,day_hours,night_core_hours,theta_d,peak_d
2025-01-01,43,101,7:00,16:40,9.66667,14.3333,54.9473,5494.725
2025-01-02,43,101,7:00,16:40,9.66667,14.3333,54.2932,5429.3182
2025-01-03,43,101,7:00,16:40,9.66667,14.3333,62.3209,6232.0875
2025-01-04,43,101,7:00,16:40,9.66667,14.3333,65.6653,6566.5273
2025-01-05,43,101,7:00,16:40,9.66667,14.3333,61.3039,6130.3875
2025-01-06,43,101,7:00,16:40,9.66667,14.3333,60.4852,6048.5188
2025-01-07,43,101,7:00,16:40,9.66667,14.3333,54.2681,5426.8125
2025-01-08,43,101,7:00,16:40,9.66667,14.3333,63.4654,6346.5393
2025-01-09,43,101,7:00,16:40,9.66667,14.3333,60.8981,6089.8125
2025-01-10,43,101,7:00,16:40,9.66667,14.3333,57.3829,5738.286
2025-01-11,43,102,7:00,16:50,9.83333,14.1667,60.5597,6055.9664
2025-01-12,42,102,6:50,16:50,10,14,56.6133,5661.3299
2025-01-13,42,102,6:50,16:50,10,14,62.0985,6209.8471
2025-01-14,42,102,6:50,16:50,10,14,62.1952,6219.525
2025-01-15,42,102,6:50,16:50,10,14,60.9358,6093.5776
2025-01-16,42,102,6:50,16:50,10,14,61.9931,6199.3148
2025-01-17,42,102,6:50,16:50,10,14,59.6406,5964.0608
2025-01-18,42,102,6:50,16:50,10,14,60.9075,6090.7508
2025-01-19,42,102,6:50,16:50,10,14,62.4443,6244.425
2025-01-20,42,102,6:50,16:50,10,14,65.9764,6597.6375
2025-01-21,42,102,6:50,16:50,10,14,71.5913,7159.125
2025-01-22,42,102,6:50,16:50,10,14,60.5202,6052.0204
2025-01-23,42,102,6:50,16:50,10,14,57.651,5765.1
2025-01-24,42,102,6:50,16:50,10,14,68.93,6893.0015
2025-01-25,42,102,6:50,16:50,10,14,68.9303,6893.025
2025-01-26,42,102,6:50,16:50,10,14,60.8152,6081.515
2025-01-27,42,102,6:50,16:50,10,14,67.7531,6775.3125
2025-01-28,42,103,6:50,17:00,10.1667,13.8333,63.6889,6368.8875
2025-01-29,41,103,6:40,17:00,10.3333,13.6667,67.446,6744.6
2025-01-30,41,103,6:40,17:00,10.3333,13.6667,68.7725,6877.2482
2025-01-31,41,103,6:40,17:00,10.3333,13.6667,64.0278,6402.7778
2025-02-01,41,103,6:40,17:00,10.3333,13.6667,68.1789,6817.8939
2025-02-02,41,103,6:40,17:00,10.3333,13.6667,68.8804,6888.0375
2025-02-03,41,103,6:40,17:00,10.3333,13.6667,66.9052,6690.5234
2025-02-04,41,103,6:40,17:00,10.3333,13.6667,67.3106,6731.0625
2025-02-05,41,103,6:40,17:00,10.3333,13.6667,64.2855,6428.5545
2025-02-06,41,103,6:40,17:00,10.3333,13.6667,64.7171,6471.7125
2025-02-07,41,103,6:40,17:00,10.3333,13.6667,72.5658,7256.5787
2025-02-08,41,103,6:40,17:00,10.3333,13.6667,70.881,7088.1
2025-02-09,40,103,6:30,17:00,10.5,13.5,62.5328,6253.275
2025-02-10,40,104,6:30,17:10,10.6667,13.3333,73.6432,7364.325
2025-02-11,40,104,6:30,17:10,10.6667,13.3333,70.0327,7003.275
2025-02-12,40,104,6:30,17:10,10.6667,13.3333,73.1592,7315.923
2025-02-13,40,104,6:30,17:10,10.6667,13.3333,76.8082,7680.8224
2025-02-14,40,104,6:30,17:10,10.6667,13.3333,69.628,6962.8019
2025-02-15,40,104,6:30,17:10,10.6667,13.3333,71.3351,7133.5125
2025-02-16,40,104,6:30,17:10,10.6667,13.3333,70.2807,7028.0698
2025-02-17,40,104,6:30,17:10,10.6667,13.3333,75.137,7513.7044
2025-02-18,40,104,6:30,17:10,10.6667,13.3333,74.1995,7419.9499
2025-02-19,40,104,6:30,17:10,10.6667,13.3333,78.3371,7833.7125
2025-02-20,40,104,6:30,17:10,10.6667,13.3333,75.3982,7539.824
2025-02-21,40,104,6:30,17:10,10.6667,13.3333,75.1571,7515.7143
2025-02-22,40,104,6:30,17:10,10.6667,13.3333,71.967,7196.6991
2025-02-23,40,105,6:30,17:20,10.8333,13.1667,72.8869,7288.6875
2025-02-24,39,105,6:20,17:20,11,13,76.6263,7662.6274
2025-02-25,39,105,6:20,17:20,11,13,84.4524,8445.2427
2025-02-26,39,105,6:20,17:20,11,13,78.9626,7896.2644
2025-02-27,39,105,6:20,17:20,11,13,83.7476,8374.7625
2025-02-28,39,105,6:20,17:20,11,13,74.9855,7498.554
2025-03-01,39,105,6:20,17:20,11,13,74.9227,7492.2702
2025-03-02,39,105,6:20,17:20,11,13,66.8651,6686.5125
2025-03-03,39,105,6:20,17:20,11,13,69.7198,6971.9847
2025-03-04,39,105,6:20,17:20,11,13,71.5128,7151.277
2025-03-05,39,105,6:20,17:20,11,13,76.7722,7677.225
2025-03-06,38,105,6:10,17:20,11.1667,12.8333,74.9954,7499.5431
2025-03-07,39,105,6:20,17:20,11,13,79.6878,7968.7764
2025-03-08,38,106,6:10,17:30,11.3333,12.6667,77.3518,7735.1789
2025-03-09,38,106,6:10,17:30,11.3333,12.6667,85.017,8501.7
2025-03-10,38,106,6:10,17:30,11.3333,12.6667,68.6751,6867.5106
2025-03-11,38,106,6:10,17:30,11.3333,12.6667,77.6093,7760.9319
2025-03-12,38,106,6:10,17:30,11.3333,12.6667,79.962,7996.2
2025-03-13,38,106,6:10,17:30,11.3333,12.6667,68.4165,6841.65
2025-03-14,38,106,6:10,17:30,11.3333,12.6667,85.0566,8505.6624
2025-03-15,37,107,6:00,17:40,11.6667,12.3333,71.6707,7167.0696
2025-03-16,38,107,6:10,17:40,11.5,12.5,83.8942,8389.425
2025-03-17,37,107,6:00,17:40,11.6667,12.3333,86.41,8640.9976
2025-03-18,37,107,6:00,17:40,11.6667,12.3333,79.0434,7904.3377
2025-03-19,37,107,6:00,17:40,11.6667,12.3333,86.1199,8611.9875
2025-03-20,37,107,6:00,17:40,11.6667,12.3333,80.9057,8090.5707
2025-03-21,37,107,6:00,17:40,11.6667,12.3333,89.0651,8906.5125
2025-03-22,37,107,6:00,17:40,11.6667,12.3333,82.7844,8278.4416
2025-03-23,37,107,6:00,17:40,11.6667,12.3333,81.8418,8184.1843
2025-03-24,37,107,6:00,17:40,11.6667,12.3333,85.2526,8525.2623
2025-03-25,37,107,6:00,17:40,11.6667,12.3333,80.111,8011.0998
2025-03-26,37,107,6:00,17:40,11.6667,12.3333,87.6866,8768.6625
2025-03-27,37,107,6:00,17:40,11.6667,12.3333,88.501,8850.1024
2025-03-28,36,108,5:50,17:50,12,12,89.0186,8901.8625
2025-03-29,36,108,5:50,17:50,12,12,91.2709,9127.0875
2025-03-30,36,108,5:50,17:50,12,12,88.9291,8892.9124
2025-03-31,36,108,5:50,17:50,12,12,83.2242,8322.4163
2025-04-01,36,108,5:50,17:50,12,12,72.3516,7235.1617
2025-04-02,36,108,5:50,17:50,12,12,76.6399,7663.9875
2025-04-03,36,108,5:50,17:50,12,12,89.6929,8969.2875
2025-04-04,36,108,5:50,17:50,12,12,90.6966,9069.662
2025-04-05,36,108,5:50,17:50,12,12,87.928,8792.8044
2025-04-06,36,108,5:50,17:50,12,12,88.0141,8801.4075
2025-04-07,35,108,5:40,17:50,12.1667,11.8333,92.8797,9287.9673
2025-04-08,35,109,5:40,18:00,12.3333,11.6667,90.203,9020.2965
2025-04-09,35,109,5:40,18:00,12.3333,11.6667,81.0583,8105.8317
2025-04-10,35,109,5:40,18:00,12.3333,11.6667,94.2075,9420.75
2025-04-11,35,109,5:40,18:00,12.3333,11.6667,92.7273,9272.7325
2025-04-12,35,109,5:40,18:00,12.3333,11.6667,82.0823,8208.225
2025-04-13,35,109,5:40,18:00,12.3333,11.6667,84.0424,8404.2373
2025-04-14,35,109,5:40,18:00,12.3333,11.6667,86.6075,8660.749
2025-04-15,35,109,5:40,18:00,12.3333,11.6667,92.1889,9218.8911
2025-04-16,34,110,5:30,18:10,12.6667,11.3333,84.102,8410.2
2025-04-17,34,110,5:30,18:10,12.6667,11.3333,87.0571,8705.7127
2025-04-18,34,110,5:30,18:10,12.6667,11.3333,82.6946,8269.4625
2025-04-19,34,110,5:30,18:10,12.6667,11.3333,87.3155,8731.5486
2025-04-20,34,110,5:30,18:10,12.6667,11.3333,86.1262,8612.625
2025-04-21,34,110,5:30,18:10,12.6667,11.3333,96.7832,9678.323
2025-04-22,34,110,5:30,18:10,12.6667,11.3333,86.6093,8660.9267
2025-04-23,34,110,5:30,18:10,12.6667,11.3333,86.1304,8613.0375
2025-04-24,34,110,5:30,18:10,12.6667,11.3333,89.4731,8947.3125
2025-04-25,34,110,5:30,18:10,12.6667,11.3333,89.8254,8982.5391
2025-04-26,34,110,5:30,18:10,12.6667,11.3333,102.162,10216.2
2025-04-27,34,110,5:30,18:10,12.6667,11.3333,97.7319,9773.1872
2025-04-28,34,110,5:30,18:10,12.6667,11.3333,79.8626,7986.2625
2025-04-29,34,110,5:30,18:10,12.6667,11.3333,89.7207,8972.0663
2025-04-30,33,111,5:20,18:20,13,11,84.0233,8402.325
2025-05-01,33,111,5:20,18:20,13,11,92.351,9235.0962
2025-05-02,33,111,5:20,18:20,13,11,77.0747,7707.4723
2025-05-03,33,111,5:20,18:20,13,11,88.4955,8849.55
2025-05-04,33,111,5:20,18:20,13,11,86.123,8612.3007
2025-05-05,33,111,5:20,18:20,13,11,89.3351,8933.5125
