hour,cells,zero_rate,noise_rate,reject_count,mean_pv,max_pv
00:00,2190,1,0,0,0,0
01:00,2190,1,0,0,0,0
02:00,2190,1,0,0,0,0
03:00,2190,0.911872,0.0881279,0,0,0
04:00,2190,0.773059,0.221918,1,0.047756849,10.0125
05:00,2190,0.435616,0.191324,21,171.78679,1316.925
06:00,2190,0.173516,0.0684932,40,974.09857,3201.7125
07:00,2190,0,0,0,2536.1488,5368.275
08:00,2190,0,0,0,4318.6561,7292.1
09:00,2190,0,0,0,5875.8122,8698.6875
10:00,2190,0,0,0,6974.2407,9670.4625
11:00,2190,0,0,0,7521.5053,10216.2
12:00,2190,0,0,0,7491.3515,10059.638
13:00,2190,0,0,0,6825.0601,9598.6939
14:00,2190,0,0,0,5630.2852,9038.1514
15:00,2190,0,0,0,4031.7917,6931.4362
16:00,2190,0.00913242,0.00182648,0,2241.8249,4878.2495
17:00,2190,0.248858,0.0639269,42,782.5854,2827.8144
18:00,2190,0.506849,0.197717,22,106.51802,1062.3324
19:00,2190,0.780822,0.217808,3,0,0
20:00,2190,0.909132,0.0908676,0,0,0
21:00,2190,1,0,0,0,0
22:00,2190,1,0,0,0,0
23:00,2190,1,0,0,0,0
