slot_index,slot_label,sigma_raw,sigma_used,n_samples
1,0:10,0,51.081,0
2,0:20,0,51.081,0
3,0:30,0,51.081,0
4,0:40,0,51.081,0
5,0:50,0,51.081,0
6,1:00,0,51.081,0
7,1:10,0,51.081,0
8,1:20,0,51.081,0
9,1:30,0,51.081,0
10,1:40,0,51.081,0
11,1:50,0,51.081,0
12,2:00,0,51.081,0
13,2:10,0,51.081,0
14,2:20,0,51.081,0
15,2:30,0,51.081,0
16,2:40,0,51.081,0
17,2:50,0,51.081,0
18,3:00,0,51.081,0
19,3:10,0,51.081,0
20,3:20,0,51.081,0
21,3:30,0,51.081,0
22,3:40,0,51.081,0
23,3:50,0,51.081,0
24,4:00,0,51.081,0
25,4:10,0,51.081,0
26,4:20,0,51.081,0
27,4:30,0,51.081,0
28,4:40,0,51.081,0
29,4:50,0,51.081,0
30,5:00,0,51.081,0
31,5:10,117.25513,117.25513,43
32,5:20,119.20339,119.20339,78
33,5:30,103.80488,103.80488,106
34,5:40,85.484711,85.484711,133
35,5:50,62.556261,62.556261,151
36,6:00,46.872132,51.081,173
37,6:10,276.31293,276.31293,196
38,6:20,244.57522,244.57522,214
39,6:30,211.7852,211.7852,236
40,6:40,183.13063,183.13063,265
41,6:50,145.24241,145.24241,288
42,7:00,118.27212,118.27212,322
43,7:10,345.21675,345.21675,365
44,7:20,325.81649,325.81649,365
45,7:30,308.21981,308.21981,365
46,7:40,284.46367,284.46367,365
47,7:50,258.68508,258.68508,365
48,8:00,247.34679,247.34679,365
49,8:10,488.7248,488.7248,365
50,8:20,469.19174,469.19174,365
51,8:30,460.61985,460.61985,365
52,8:40,439.31478,439.31478,365
53,8:50,412.93787,412.93787,365
54,9:00,401.80338,401.80338,365
55,9:10,655.6647,655.6647,365
56,9:20,634.02902,634.02902,365
57,9:30,624.19,624.19,365
58,9:40,605.67068,605.67068,365
59,9:50,558.58203,558.58203,365
60,10:00,520.46409,520.46409,365
61,10:10,737.97838,737.97838,365
62,10:20,742.17566,742.17566,365
63,10:30,737.77561,737.77561,365
64,10:40,708.16705,708.16705,365
65,10:50,669.67663,669.67663,365
66,11:00,653.14174,653.14174,365
67,11:10,842.16149,842.16149,365
68,11:20,810.2189,810.2189,365
69,11:30,796.27967,796.27967,365
70,11:40,780.69343,780.69343,365
71,11:50,750.37326,750.37326,365
72,12:00,730.13485,730.13485,365
73,12:10,866.44271,866.44271,365
74,12:20,855.60685,855.60685,365
75,12:30,834.47046,834.47046,365
76,12:40,808.73891,808.73891,365
77,12:50,791.01467,791.01467,365
78,13:00,782.25578,782.25578,365
79,13:10,855.83789,855.83789,365
80,13:20,807.03302,807.03302,365
81,13:30,777.18109,777.18109,365
82,13:40,755.70732,755.70732,365
83,13:50,741.30785,741.30785,365
84,14:00,736.62273,736.62273,365
85,14:10,745.84235,745.84235,365
86,14:20,716.41256,716.41256,365
87,14:30,694.94506,694.94506,365
88,14:40,680.36246,680.36246,365
89,14:50,652.13163,652.13163,365
90,15:00,625.42861,625.42861,365
91,15:10,531.98782,531.98782,365
92,15:20,513.82391,513.82391,365
93,15:30,497.07987,497.07987,365
94,15:40,473.82315,473.82315,365
95,15:50,444.033,444.033,365
96,16:00,424.86084,424.86084,365
97,16:10,347.99217,347.99217,365
98,16:20,317.99975,317.99975,365
99,16:30,287.08289,287.08289,365
100,16:40,263.4311,263.4311,365
101,16:50,246.16857,246.16857,365
102,17:00,246.67357,246.67357,323
103,17:10,452.96569,452.96569,288
104,17:20,344.73223,344.73223,263
105,17:30,243.8644,243.8644,237
106,17:40,172.32926,172.32926,212
107,17:50,135.45906,135.45906,196
108,18:00,127.15806,127.15806,171
109,18:10,245.3059,245.3059,148
110,18:20,192.94928,192.94928,132
111,18:30,123.69922,123.69922,106
112,18:40,70.071259,70.071259,77
113,18:50,16.300076,51.081,42
114,19:00,0,51.081,0
115,19:10,0,51.081,0
116,19:20,0,51.081,0
117,19:30,0,51.081,0
118,19:40,0,51.081,0
119,19:50,0,51.081,0
120,20:00,0,51.081,0
121,20:10,0,51.081,0
122,20:20,0,51.081,0
123,20:30,0,51.081,0
124,20:40,0,51.081,0
125,20:50,0,51.081,0
126,21:00,0,51.081,0
127,21:10,0,51.081,0
128,21:20,0,51.081,0
129,21:30,0,51.081,0
130,21:40,0,51.081,0
131,21:50,0,51.081,0
132,22:00,0,51.081,0
133,22:10,0,51.081,0
134,22:20,0,51.081,0
135,22:30,0,51.081,0
136,22:40,0,51.081,0
137,22:50,0,51.081,0
138,23:00,0,51.081,0
139,23:10,0,51.081,0
140,23:20,0,51.081,0
141,23:30,0,51.081,0
142,23:40,0,51.081,0
143,23:50,0,51.081,0
144,0:00+1,0,51.081,0
