slot_index,slot_label,price_cny_per_kwh,load_kw,pv_kw,purchase_kwh,charge_kwh,discharge_kwh,soc_end_kwh,marginal_mu_cny_per_kwh,curtail_kwh
1,0:10,0.424800,3439.846600,0.000000,1406.641100,833.333333,0.000000,6750.000000,0.424800,0.000000
2,0:20,0.424500,3437.979200,0.000000,1406.329867,833.333333,0.000000,7500.000000,0.424500,0.000000
3,0:30,0.426900,3444.303100,0.000000,1407.383850,833.333333,0.000000,8250.000000,0.426900,0.000000
4,0:40,0.427200,3454.443700,0.000000,1409.073950,833.333333,0.000000,9000.000000,0.427200,0.000000
5,0:50,0.427100,3458.827300,0.000000,1409.804550,833.333333,0.000000,9750.000000,0.427100,0.000000
6,1:00,0.428500,3459.840100,0.000000,576.640017,0.000000,0.000000,9750.000000,0.428500,0.000000
7,1:10,0.431100,3467.158200,0.000000,577.859700,0.000000,0.000000,9750.000000,0.431100,0.000000
8,1:20,0.430200,3467.963200,0.000000,577.993867,0.000000,0.000000,9750.000000,0.430200,0.000000
9,1:30,0.427900,3466.968300,0.000000,911.161383,333.333333,0.000000,10050.000000,0.427900,0.000000
10,1:40,0.431200,3482.492700,0.000000,580.415450,0.000000,0.000000,10050.000000,0.431200,0.000000
11,1:50,0.433300,3495.084100,0.000000,582.514017,0.000000,0.000000,10050.000000,0.433300,0.000000
12,2:00,0.431100,3498.444300,0.000000,583.074050,0.000000,0.000000,10050.000000,0.431100,0.000000
13,2:10,0.429300,3505.229500,0.000000,584.204917,0.000000,0.000000,10050.000000,0.429300,0.000000
14,2:20,0.432400,3512.638700,0.000000,585.439783,0.000000,0.000000,10050.000000,0.432400,0.000000
15,2:30,0.436700,3516.868500,0.000000,586.144750,0.000000,0.000000,10050.000000,0.436700,0.000000
16,2:40,0.434800,3517.924600,0.000000,586.320767,0.000000,0.000000,10050.000000,0.434800,0.000000
17,2:50,0.433500,3518.551800,0.000000,586.425300,0.000000,0.000000,10050.000000,0.433500,0.000000
18,3:00,0.435700,3521.097600,0.000000,586.849600,0.000000,0.000000,10050.000000,0.435700,0.000000
19,3:10,0.437400,3526.926100,0.000000,587.821017,0.000000,0.000000,10050.000000,0.437400,0.000000
20,3:20,0.437100,3537.285400,0.000000,589.547567,0.000000,0.000000,10050.000000,0.437100,0.000000
21,3:30,0.435600,3544.880800,0.000000,590.813467,0.000000,0.000000,10050.000000,0.435600,0.000000
22,3:40,0.435300,3541.278700,0.000000,590.213117,0.000000,0.000000,10050.000000,0.435300,0.000000
23,3:50,0.436000,3546.397600,0.000000,591.066267,0.000000,0.000000,10050.000000,0.436000,0.000000
24,4:00,0.437800,3560.207000,0.000000,593.367833,0.000000,0.000000,10050.000000,0.437800,0.000000
25,4:10,0.440100,3561.958100,0.000000,593.659683,0.000000,0.000000,10050.000000,0.440100,0.000000
26,4:20,0.438900,3556.718300,0.000000,592.786383,0.000000,0.000000,10050.000000,0.438900,0.000000
27,4:30,0.436400,3560.027200,0.000000,593.337867,0.000000,0.000000,10050.000000,0.436400,0.000000
28,4:40,0.439300,3580.654000,0.599400,596.675767,0.000000,0.000000,10050.000000,0.439300,0.000000
29,4:50,0.442200,3586.916000,0.234500,597.780250,0.000000,0.000000,10050.000000,0.442200,0.000000
30,5:00,0.439500,3571.263500,0.288500,595.162500,0.000000,0.000000,10050.000000,0.439500,0.000000
31,5:10,0.433300,3562.317100,18.678100,590.606500,0.000000,0.000000,10050.000000,0.433300,0.000000
32,5:20,0.443900,3591.380900,54.469800,589.485183,0.000000,0.000000,10050.000000,0.443900,0.000000
33,5:30,0.430100,3579.704500,108.971800,578.455450,0.000000,0.000000,10050.000000,0.430100,0.000000
34,5:40,0.371300,3486.119000,184.160300,1383.659783,833.333333,0.000000,10800.000000,0.371300,0.000000
35,5:50,0.570800,3823.899400,277.058200,591.140200,0.000000,-0.000000,10800.000000,0.570800,0.000000
36,6:00,0.909900,4398.072700,388.549400,0.000000,0.000000,668.253883,10057.495685,0.590741,0.000000
37,6:10,0.936800,4454.012300,521.280300,0.000000,0.000000,655.455333,9329.211981,0.590741,0.000000
38,6:20,0.875800,4371.791900,672.767700,0.000000,0.000000,616.504033,8644.207500,0.590741,0.000000
39,6:30,0.875900,4392.953000,844.226100,0.000000,0.000000,591.454483,7987.035852,0.590741,0.000000
40,6:40,0.860100,4384.595600,1039.674400,0.000000,0.000000,557.486867,7367.606000,0.590741,0.000000
41,6:50,0.844200,4434.775700,1259.337500,0.000000,0.000000,529.239700,6779.561889,0.590741,0.000000
42,7:00,0.833400,4523.456100,1508.631800,0.000000,0.000000,502.470717,6221.261093,0.590741,0.000000
43,7:10,0.809200,4524.072100,1791.410700,0.000000,0.000000,455.443567,5715.212685,0.590741,0.000000
44,7:20,0.797200,4545.886700,2085.486500,0.000000,0.000000,410.066700,5259.583019,0.590741,0.000000
45,7:30,0.764400,4523.241800,2381.261100,0.000000,0.000000,356.996783,4862.919926,0.590741,0.000000
46,7:40,0.689900,4383.356600,2683.175200,0.000000,0.000000,283.363567,4548.071519,0.590741,0.000000
47,7:50,0.860000,4910.459900,2986.355200,0.000000,0.000000,320.684117,4191.755833,0.590741,0.000000
48,8:00,1.161700,5799.732700,3289.204000,0.000000,0.000000,418.421450,3726.843111,0.590741,0.000000
49,8:10,1.168300,5884.826000,3593.361300,0.000000,0.000000,381.910783,3302.497796,0.590741,0.000000
50,8:20,1.095600,5748.071300,3890.733200,0.000000,0.000000,309.556350,2958.546296,0.590741,0.000000
51,8:30,1.084900,5769.058100,4181.341700,0.000000,0.000000,264.619400,2664.524741,0.590741,0.000000
52,8:40,1.061000,5754.210500,4471.765700,0.000000,0.000000,213.740800,2427.034963,0.590741,0.000000
53,8:50,1.043000,5824.180700,4752.827200,0.000000,0.000000,178.558917,2228.636167,0.590741,0.000000
54,9:00,1.036000,5954.260100,5021.907400,0.000000,0.000000,155.392117,2055.978259,0.590741,0.000000
55,9:10,1.014700,5958.969600,5285.412600,0.000000,0.000000,112.259500,1931.245481,0.590741,0.000000
56,9:20,0.992200,5929.555400,5543.174200,0.000000,0.000000,64.396867,1859.693407,0.590741,0.000000
57,9:30,0.970000,5923.782800,5788.409300,0.000000,0.000000,22.562250,1834.624241,0.590741,0.000000
58,9:40,0.942200,5907.586000,6012.130400,0.000000,17.424067,0.000000,1850.305901,0.478500,0.000000
59,9:50,0.956900,5899.126200,6216.152800,0.000000,52.837767,0.000000,1897.859891,0.478500,0.000000
60,10:00,0.997700,5902.219600,6409.594100,0.000000,84.562417,0.000000,1973.966066,0.478500,0.000000
61,10:10,0.991900,5897.479300,6599.380800,0.000000,116.983583,0.000000,2079.251291,0.478500,0.000000
62,10:20,0.958800,5886.756800,6766.720400,0.000000,146.660600,0.000000,2211.245831,0.478500,0.000000
63,10:30,0.954900,5873.470800,6914.592300,0.000000,173.520250,0.000000,2367.414056,0.478500,0.000000
64,10:40,0.983900,5858.030800,7064.205300,0.000000,201.029083,0.000000,2548.340231,0.478500,0.000000
65,10:50,0.799000,5844.994800,7197.431500,0.000000,225.406117,0.000000,2751.205736,0.478500,0.000000
66,11:00,0.502500,5839.058700,7303.114200,0.000000,244.009250,0.000000,2970.814061,0.478500,0.000000
67,11:10,0.466200,5838.710300,7387.684800,575.170917,833.333333,0.000000,3720.814061,0.466200,0.000000
68,11:20,0.500700,5823.437800,7459.227000,0.000000,272.631533,0.000000,3966.182441,0.478500,0.000000
69,11:30,0.482700,5814.793200,7520.719100,0.000000,284.320983,0.000000,4222.071326,0.478500,0.000000
70,11:40,0.478500,5832.395100,7568.203900,179.277171,468.578638,0.000000,4643.792100,0.478500,0.000000
71,11:50,0.466200,5712.901000,7592.153900,520.124517,833.333333,0.000000,5393.792100,0.466200,0.000000
72,12:00,0.443200,5519.460700,7601.043300,486.402900,833.333333,0.000000,6143.792100,0.443200,0.000000
73,12:10,0.441100,5494.790700,7612.316000,480.412450,833.333333,0.000000,6893.792100,0.441100,0.000000
74,12:20,0.455100,5514.452400,7602.652400,485.300000,833.333333,0.000000,7643.792100,0.455100,0.000000
75,12:30,0.446300,5485.829000,7554.187200,488.606967,833.333333,0.000000,8393.792100,0.446300,0.000000
76,12:40,0.411300,5462.362800,7472.738400,498.270733,833.333333,0.000000,9143.792100,0.411300,0.000000
77,12:50,0.568200,5566.106600,7393.417200,0.000000,304.551767,0.000000,9417.888690,0.478500,0.000000
78,13:00,0.827900,5725.754800,7312.797900,0.000000,264.507183,0.000000,9655.945155,0.478500,0.000000
79,13:10,0.863600,5739.495700,7194.541000,0.000000,242.507550,0.000000,9874.201950,0.478500,0.000000
80,13:20,0.841600,5714.683600,7053.137100,0.000000,223.075583,0.000000,10074.969975,0.478500,0.000000
81,13:30,0.861800,5717.850500,6910.406400,0.000000,198.759317,0.000000,10253.853360,0.478500,0.000000
82,13:40,0.862300,5708.248600,6772.407500,0.000000,177.359817,0.000000,10413.477195,0.478500,0.000000
83,13:50,0.902600,5696.918200,6607.360000,0.000000,151.740300,0.000000,10550.043465,0.478500,0.000000
84,14:00,0.975400,5692.298300,6412.508500,0.000000,120.035033,0.000000,10658.074995,0.478500,0.000000
85,14:10,1.000200,5687.129100,6214.015800,0.000000,87.814450,0.000000,10737.108000,0.478500,0.000000
86,14:20,0.997800,5678.962000,6000.711200,0.000000,53.624867,0.000000,10785.370380,0.478500,0.000000
87,14:30,1.027100,5669.450800,5766.981600,0.000000,16.255133,0.000000,10800.000000,0.478500,0.000000
88,14:40,1.090600,5664.194800,5521.506600,0.000000,0.000000,23.781367,10773.576259,0.814815,0.000000
89,14:50,0.937600,5672.701100,5268.781000,0.000000,0.000000,67.320017,10698.776241,0.814815,0.000000
90,15:00,0.669400,5682.254400,5009.715200,112.089867,0.000000,0.000000,10698.776241,0.669400,0.000000
91,15:10,0.660000,5669.019500,4743.448400,266.732694,112.470844,0.000000,10800.000000,0.660000,0.000000
92,15:20,0.721700,5656.365100,4471.224000,197.523517,0.000000,0.000000,10800.000000,0.721700,0.000000
93,15:30,0.730800,5657.086700,4188.202500,244.814033,0.000000,0.000000,10800.000000,0.730800,0.000000
94,15:40,0.753400,5662.600800,3889.393100,295.534617,0.000000,0.000000,10800.000000,0.753400,0.000000
95,15:50,0.782300,5669.259600,3594.594600,345.777500,0.000000,0.000000,10800.000000,0.782300,0.000000
96,16:00,0.805500,5673.476700,3303.887800,394.931483,0.000000,0.000000,10800.000000,0.805500,0.000000
97,16:10,0.827100,5671.014600,2998.424700,445.431650,0.000000,-0.000000,10800.000000,0.827100,0.000000
98,16:20,0.851900,5661.592600,2687.413100,495.696583,0.000000,-0.000000,10800.000000,0.851900,0.000000
99,16:30,0.879100,5665.892200,2383.177900,547.119050,0.000000,-0.000000,10800.000000,0.879100,0.000000
100,16:40,0.902400,5689.037200,2089.124600,599.985433,0.000000,-0.000000,10800.000000,0.902400,0.000000
101,16:50,0.916300,5603.661400,1791.082900,635.429750,0.000000,-0.000000,10800.000000,0.916300,0.000000
