date,cost_cny,planned_purchase_kwh,planned_cost_cny,emergency_energy_kwh,emergency_cost_cny,emergency_slots,emergency_blocks,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh,soc_min_kwh,soc_max_kwh,curtail_kwh,expected_cost_cny
2025-02-01,61980.930715,96879.329795,61980.930715,0.000000,0.000000,0,0,25315.090947,20505.223667,6000.000000,6000.000000,1200.000000,10800.000000,18919.492128,63650.979363
2025-02-02,61732.286884,96486.169176,61665.704949,10.623480,66.581935,2,1,25291.908280,20486.445707,6000.000000,6000.000000,1200.000000,10800.000000,3447.994365,63342.206944
2025-02-03,61679.273042,96446.081566,61649.007397,13.960133,30.265644,2,2,25288.319695,20483.538953,6000.000000,6000.000000,1200.000000,10800.000000,3497.558820,63357.122994
2025-02-04,61823.080546,96451.230218,61655.346321,53.991357,167.734225,3,2,25281.464641,20477.986359,6000.000000,6000.000000,1200.000000,10800.000000,2589.456275,63383.726995
2025-02-05,61421.734298,96115.391222,61392.294065,7.385243,29.440233,3,3,25198.975701,20411.170318,6000.000000,6000.000000,1200.000000,10800.000000,2629.591871,63207.645269
2025-02-06,61168.166252,95792.220529,61145.867636,5.633350,22.298616,2,2,25193.686345,20406.885939,6000.000000,6000.000000,1200.000000,10800.000000,2871.511800,62993.268011
2025-02-07,60725.588392,95244.010664,60725.588392,0.000000,0.000000,0,0,25128.351893,20353.965033,6000.000000,6000.000000,1200.000000,10800.000000,19222.010100,62549.500752
2025-02-08,60479.066304,94937.298534,60479.066304,0.000000,0.000000,0,0,25103.006493,20333.435259,6000.000000,6000.000000,1200.000000,10800.000000,19601.033226,62305.318405
2025-02-09,60239.206750,94493.063342,60123.758422,45.949583,115.448328,1,1,25027.353871,20272.156635,6000.000000,6000.000000,1200.000000,10800.000000,2622.569537,61938.645947
2025-02-10,60162.891264,94487.474347,60124.443458,5.721950,38.447806,2,1,25021.243764,20267.207449,6000.000000,6000.000000,1200.000000,10800.000000,4556.093432,61959.244496
2025-02-11,60105.370354,94455.465986,60105.370354,0.000000,0.000000,0,0,25016.166295,20263.094699,6000.000000,6000.000000,1200.000000,10800.000000,3822.592349,61978.866420
2025-02-12,59729.246647,93897.139777,59711.797369,3.078333,17.449278,2,2,24977.559918,20231.823533,6000.000000,6000.000000,1200.000000,10800.000000,3879.018433,61654.060362
2025-02-13,59602.508693,93591.931958,59493.900590,18.291788,108.608103,5,3,24958.143489,20216.096226,6000.000000,6000.000000,1200.000000,10800.000000,5695.581560,61500.160948
2025-02-14,59002.885566,92953.323716,59002.885566,0.000000,0.000000,0,0,24848.209362,20127.049583,6000.000000,6000.000000,1200.000000,10800.000000,20956.843100,61241.335531
2025-02-15,58546.970357,92353.329242,58546.970357,0.000000,0.000000,0,0,24833.333333,20115.000000,6000.000000,6000.000000,1200.000000,10800.000000,21480.968717,60734.787860
2025-02-16,58366.703903,91754.894488,58063.805235,48.571300,302.898667,6,5,24833.333333,20115.000000,6000.000000,6000.000000,1200.000000,10800.000000,3555.024191,60222.737856
2025-02-17,58432.585247,91758.486589,58075.932812,56.227559,356.652435,9,3,24833.333333,20115.000000,6000.000000,6000.000000,1200.000000,10800.000000,5961.087867,60261.544627
2025-02-18,58192.048465,91770.142498,58090.165095,15.766983,101.883370,3,2,24833.333333,20115.000000,6000.000000,6000.000000,1200.000000,10800.000000,5086.169200,60303.477884
2025-02-19,57805.984931,90836.269643,57352.440369,107.941479,453.544562,10,7,24833.333333,20115.000000,6000.000000,6000.000000,1200.000000,10800.000000,4134.361133,59812.296715
