date,cost_cny,plan_cost_cny,emergency_energy_kwh,emergency_cost_cny,over_plan_energy_kwh,under_plan_energy_kwh,over_plan_penalty_cny,under_plan_penalty_cny,q_plan_kwh,q_adjust_kwh,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh,emergency_slots,emergency_blocks,S0,S1,S2,S3,S4
2025-02-01,24636.637889,19760.537214,869.169083,3581.816871,442.021050,1488.338961,166.799908,1127.483896,37631.006087,38677.323998,18794.392620,15223.458022,6000.000000,6000.000000,30,4,27750.316460,26272.883093,24636.637889,24636.637889,27869.240843
2025-02-02,55170.324538,50850.065261,408.099550,1649.857789,418.291833,2303.680643,104.490965,2565.910522,81974.448500,83859.837309,24099.765576,19520.810117,6000.000000,6000.000000,23,6,57441.491398,55550.265407,55170.324538,55170.324538,57385.320884
2025-02-03,56735.394958,53324.405755,698.148300,2827.472271,787.957547,285.089100,259.231727,324.285206,85577.414186,85074.545739,24128.360206,19543.971767,6000.000000,6000.000000,29,4,55964.041671,56881.342766,56735.394958,56735.394958,56412.839778
2025-02-04,59078.379959,54251.926151,481.409467,1920.818891,1575.105603,2093.100883,535.213367,2370.421550,86672.366867,87190.362147,24672.058580,19984.367450,6000.000000,6000.000000,29,8,60443.814753,58211.154268,59078.379959,59078.379959,61813.723063
2025-02-05,57140.528402,50640.916265,242.411683,932.201476,48.831300,5331.083032,19.552139,5547.858522,81467.465035,86749.716766,24374.100350,19743.021283,6000.000000,6000.000000,15,5,65642.961714,57694.063233,57140.528402,57140.528402,63625.426408
2025-02-06,59251.333377,54657.743578,690.074050,2572.119410,2658.319324,1086.939683,863.688168,1157.782222,87557.681199,85986.301558,24442.028992,19798.043483,6000.000000,6000.000000,27,7,58866.511542,57541.496753,59251.333377,59251.333377,61210.753781
2025-02-07,21248.700694,19548.912131,125.164333,566.179434,328.397050,1075.262933,124.485713,1009.123415,37425.824555,38172.690439,19330.337572,15657.573433,6000.000000,6000.000000,7,3,22885.998594,22506.710548,21248.700694,21248.700694,23091.384954
2025-02-08,22925.528635,18015.262787,813.603133,3762.921622,0.000000,1010.298750,0.000000,1147.344225,34857.754753,35868.053503,18000.475720,14580.385333,6000.000000,6000.000000,34,6,36745.817478,22377.339417,22925.528635,22925.528635,27127.886380
2025-02-09,57353.290947,51268.713561,205.663350,892.540263,393.862283,5243.501074,175.631688,5016.405435,81983.092227,86832.731018,24481.388868,19829.924983,6000.000000,6000.000000,11,4,64633.871957,58355.733398,57353.290947,57353.290947,57871.984173
2025-02-10,53614.647566,47988.382422,949.008250,3033.711349,961.152312,2119.146381,302.605001,2289.948793,77989.731129,79147.725198,24019.217531,19455.566200,6000.000000,6000.000000,30,5,54559.179064,58764.042904,53614.647566,53614.647566,52778.314687
2025-02-11,55221.244499,48882.581787,582.412017,2724.609124,1702.300151,2847.852486,656.559268,2957.494321,78816.303933,79961.856267,23369.429389,18929.237805,6000.000000,6000.000000,29,6,62071.991955,55380.697887,55221.244499,55221.244499,62949.904697
2025-02-12,52947.382636,48831.346695,656.085083,2753.102913,299.132937,1322.005433,107.910283,1255.022745,78589.312033,79612.184529,23426.732433,18975.653270,6000.000000,6000.000000,42,8,55298.106425,53889.465774,52947.382636,52947.382636,53127.496864
2025-02-13,51785.911150,44507.040989,638.912950,3174.200107,42.201950,4167.341770,10.650914,4094.019139,72906.776138,77031.915958,23432.426622,18980.265564,6000.000000,6000.000000,21,4,58193.748190,51682.885094,51785.911150,51785.911150,52031.471193
