date,cost_cny,planned_purchase_kwh,planned_cost_cny,emergency_energy_kwh,emergency_cost_cny,emergency_slots,emergency_blocks,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh,soc_min_kwh,soc_max_kwh,curtail_kwh,expected_cost_cny
2025-02-01,51968.348623,96597.795848,51968.348623,0.000000,0.000000,0,0,23833.333333,19305.000000,6000.000000,6000.000000,1200.000000,10800.000000,17177.288807,53379.910167
2025-02-02,68211.906842,96250.747593,68144.521092,10.589400,67.385751,2,1,24000.000000,19440.000000,6000.000000,6000.000000,1200.000000,10800.000000,2740.399837,70042.232868
2025-02-03,69251.338586,96224.317736,69215.815765,13.960133,35.522821,2,2,24117.969163,19535.555022,6000.000000,6000.000000,1200.000000,10800.000000,2522.055596,71187.275499
2025-02-04,69526.198482,96468.301738,69354.162454,53.991357,172.036028,3,2,25371.314744,20550.764943,6000.000000,6000.000000,1200.000000,10800.000000,2408.350010,71353.461077
2025-02-05,68995.045274,96212.671721,68964.532701,7.375815,30.512574,3,3,25666.666667,20790.000000,6000.000000,6000.000000,1200.000000,10800.000000,2316.944144,71057.966767
2025-02-06,68409.619698,95708.050560,68388.040145,5.601455,21.579553,2,2,24666.666667,19980.000000,6000.000000,6000.000000,1200.000000,10800.000000,2192.768250,70503.248738
2025-02-07,49937.110502,95693.446463,49937.110502,0.000000,0.000000,0,0,27467.734856,22248.865233,6000.000000,6000.000000,1200.000000,10800.000000,19519.398183,51452.184467
2025-02-08,49884.354262,94856.976544,49884.354262,0.000000,0.000000,0,0,24666.666667,19980.000000,6000.000000,6000.000000,1200.000000,10800.000000,18237.186533,51409.722064
2025-02-09,66974.970042,94240.074730,66795.008498,45.949583,179.961543,1,1,23666.666667,19170.000000,6000.000000,6000.000000,1200.000000,10800.000000,2342.771744,68861.844264
2025-02-10,65144.712653,94400.030899,65108.391402,5.721950,36.321250,2,1,24500.000000,19845.000000,6000.000000,6000.000000,1200.000000,10800.000000,3504.505996,67096.258890
2025-02-11,65677.769416,94469.381385,65677.769416,0.000000,0.000000,0,0,25016.614259,20263.457549,6000.000000,6000.000000,1200.000000,10800.000000,3582.371212,67741.400435
2025-02-12,64993.413737,93874.620292,64976.420082,3.078333,16.993655,2,2,24833.333333,20115.000000,6000.000000,6000.000000,1200.000000,10800.000000,3591.354904,67120.268788
2025-02-13,63968.007113,93491.054945,63863.032873,18.067857,104.974240,5,3,24369.679794,19739.440633,6000.000000,6000.000000,1200.000000,10800.000000,4651.483401,66025.747987
2025-02-14,48056.720183,92764.862331,48056.720183,0.000000,0.000000,0,0,23834.205658,19305.706583,6000.000000,6000.000000,1200.000000,10800.000000,19415.590300,49873.808765
2025-02-15,48456.544854,92472.257039,48456.544854,0.000000,0.000000,0,0,25570.059671,20711.748333,6000.000000,6000.000000,1200.000000,10800.000000,20415.779117,50279.793027
2025-02-16,63814.987879,91750.016315,63509.955003,48.571300,305.032876,6,5,24833.333333,20115.000000,6000.000000,6000.000000,1200.000000,10800.000000,3841.945577,65944.611426
2025-02-17,63418.442843,91721.554909,63073.529065,56.078636,344.913778,9,3,24751.168765,20048.446700,6000.000000,6000.000000,1200.000000,10800.000000,4908.986885,65486.753688
2025-02-18,62479.783001,91673.964791,62379.507544,15.766983,100.275457,3,2,24120.628930,19537.709433,6000.000000,6000.000000,1200.000000,10800.000000,3566.311532,64767.138045
2025-02-19,61911.088096,91199.935284,61468.112591,107.795439,442.975505,10,7,26495.866463,21461.651835,6000.000000,6000.000000,1200.000000,10800.000000,3353.309143,64120.106559
2025-02-20,61965.978255,90065.042011,61517.484463,89.051300,448.493792,8,5,24000.000000,19440.000000,6000.000000,6000.000000,1200.000000,10800.000000,3600.826867,64243.878387
2025-02-21,45254.570887,89686.398701,45254.570887,0.000000,0.000000,0,0,24647.219430,19964.247738,6000.000000,6000.000000,1200.000000,10800.000000,21744.854615,47349.390258
2025-02-22,45559.543864,88990.422214,45553.908619,2.805000,5.635245,1,1,26655.361281,21590.842638,6000.000000,6000.000000,1200.000000,10800.000000,20609.550821,47717.353157
2025-02-23,59462.632672,87592.313174,59074.406313,104.862015,388.226359,13,9,24271.297379,19659.750877,6000.000000,6000.000000,1200.000000,10800.000000,3696.148353,61709.103880
2025-02-24,59392.665511,87542.669917,58822.026169,104.418617,570.639343,12,6,24251.510612,19643.723596,6000.000000,6000.000000,1200.000000,10800.000000,4842.500154,61472.105684
2025-02-25,58271.591457,87414.622232,57865.894439,99.211995,405.697018,10,6,23479.352585,19018.275594,6000.000000,6000.000000,1200.000000,10800.000000,4798.301944,60479.363766
2025-02-26,58212.799511,86619.148376,58056.474627,44.703507,156.324884,7,6,23569.175248,19091.031951,6000.000000,6000.000000,1200.000000,10800.000000,4156.259584,60632.657103
2025-02-27,56448.150630,85935.291020,56103.191963,55.364617,344.958667,7,4,23166.666667,18765.000000,6000.000000,6000.000000,1200.000000,10800.000000,3643.003893,58655.146813
2025-02-28,42196.955639,85123.692376,42196.955639,0.000000,0.000000,0,0,23659.825188,19164.458402,6000.000000,6000.000000,1200.000000,10800.000000,22006.692613,43959.994929
