date,cost_cny,plan_cost_cny,emergency_energy_kwh,emergency_cost_cny,over_plan_energy_kwh,under_plan_energy_kwh,over_plan_penalty_cny,under_plan_penalty_cny,q_plan_kwh,q_adjust_kwh,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh,emergency_slots,emergency_blocks,S0,S1,S2,S3,S4
2025-02-01,20179.007382,15904.822368,869.169083,3106.220731,442.021050,1488.338961,144.774815,1023.189468,38050.071489,39096.389400,21000.000000,17010.000000,6000.000000,6000.000000,30,4,22768.313936,21346.389911,20179.007382,20179.007382,22859.441802
2025-02-02,60888.725694,55721.883828,408.099550,2007.400770,418.933983,2216.259321,136.541508,3022.899588,82043.556512,83840.881850,24000.000000,19440.000000,6000.000000,6000.000000,23,6,63485.443820,61011.684520,60888.725694,60888.725694,63500.363745
2025-02-03,64059.307358,59663.054826,698.148300,3441.455799,887.197133,403.325700,380.869365,573.927368,85534.028733,85050.157300,24000.000000,19440.000000,6000.000000,6000.000000,29,4,62887.332620,63806.753870,64059.307358,64059.307358,63643.341605
2025-02-04,66440.041614,60869.996162,481.409467,2310.027851,1349.005322,1839.996500,587.393317,2672.624283,86650.670012,87141.661191,24415.737757,19776.747583,6000.000000,6000.000000,29,8,68255.070330,65682.707479,66440.041614,66440.041614,69490.748919
2025-02-05,64394.755709,56287.050184,242.411683,1153.812467,69.082600,5268.588362,31.237536,6922.655521,81624.321423,86823.827185,24764.155185,20058.965700,6000.000000,6000.000000,15,5,75016.950806,64991.517498,64394.755709,64394.755709,72506.048147
2025-02-06,67374.449393,61169.439320,690.074050,3254.427589,2677.750500,1176.371567,1203.492975,1747.089509,87530.361650,86028.982717,24666.666667,19980.000000,6000.000000,6000.000000,27,7,66161.833963,65208.201133,67374.449393,67374.449393,68801.051924
2025-02-07,17147.635140,15721.914753,125.164333,511.289539,328.397050,935.091017,101.924148,812.506701,37901.393750,38508.087717,21833.333333,17685.000000,6000.000000,6000.000000,7,3,18653.079271,17860.062259,17147.635140,17147.635140,18824.543048
2025-02-08,18471.484451,14242.230233,813.603133,3180.534705,0.000000,1010.298750,0.000000,1048.719513,35427.664367,36437.963117,21000.000000,17010.000000,6000.000000,6000.000000,34,6,29890.558503,18034.832472,18471.484451,18471.484451,22040.269029
2025-02-09,63451.536497,56510.790737,205.663350,1033.382822,113.802267,4733.572681,53.553504,5853.809433,81919.758894,86539.529309,22938.221975,18579.959800,6000.000000,6000.000000,11,4,72753.960233,64332.196328,63451.536497,63451.536497,64797.020514
2025-02-10,58079.676003,51465.808773,949.008250,3608.138759,981.329283,2006.894638,368.790385,2636.938086,78084.731129,79110.296484,23822.224300,19296.001683,6000.000000,6000.000000,30,5,58777.205751,63631.395134,58079.676003,58079.676003,56949.902156
2025-02-11,60169.841427,52765.909226,582.412017,3134.096230,1612.600076,2816.394867,714.605284,3555.230686,78699.268524,79903.063315,23059.992798,18678.594167,6000.000000,6000.000000,29,6,68312.420297,60095.618701,60169.841427,60169.841427,69314.416149
2025-02-12,57812.556354,52622.075120,656.085083,3192.548729,515.386433,1653.456210,238.832195,1759.100309,78502.958597,79641.028373,23578.542140,19098.619133,6000.000000,6000.000000,42,8,60126.048730,58502.338378,57812.556354,57812.556354,57537.695896
2025-02-13,55525.713622,47235.510724,638.912950,3594.303320,93.118067,4257.878008,37.378649,4658.520928,72748.442805,76913.202746,22807.620244,18474.172397,6000.000000,6000.000000,21,4,62229.432817,55451.674610,55525.713622,55525.713622,55750.191743
2025-02-14,15685.825181,14199.683890,204.698100,795.259424,0.000000,703.476350,0.000000,690.881867,35515.368100,36218.844450,21386.306029,17322.907883,6000.000000,6000.000000,11,3,27089.230360,15713.045559,15685.825181,15685.825181,18508.832027
